Image,Beta,Alpha
Arithmetic,1.2749723,1.331307486
Arithmetic,1.183694383,1.311984743
Arithmetic,0.893472637,0.9669121147
Arithmetic,0.8355191871,1.268298948
Arithmetic,1.132109596,1.345601946
Arithmetic,1.209262089,1.08720229
Arithmetic,1.01971968,1.121754217
Arithmetic,1.0531547,1.304469658
Arithmetic,1.282050897,1.201948801
Arithmetic,1.288681154,1.282218616
Arithmetic,1.109475003,1.30286963
Arithmetic,0.8738326377,1.075978992
Arithmetic,1.145077426,1.237450681
Arithmetic,1.253492286,1.397319176
Arithmetic,1.2167367,1.405539867
Arithmetic,1.215021732,1.360276338
Arithmetic,1.192447696,1.176360751
Arithmetic,1.216875417,1.323105004
Arithmetic,1.07135527,1.224444862
Arithmetic,1.172800436,1.075138652
Arithmetic,1.143074201,1.141264653
Arithmetic,0.8674078097,1.315994055
Arithmetic,0.7481218369,1.318703861
Arithmetic,0.7524445122,1.332523382
Arithmetic,0.7695422511,1.323396131
Arithmetic,0.7745152097,1.334927991
Arithmetic,0.9191967405,1.176060719
Arithmetic,1.213090823,1.329663748
Arithmetic,1.276817087,1.309480036
Bouncy,1.023686197,1.385075682
Bouncy,1.243875707,1.461003437
Bouncy,1.273474242,1.317277148
Bouncy,1.199723701,1.272931642
Bouncy,1.233584221,1.270305437
Bouncy,1.23395028,1.274127046
Bouncy,1.243668228,1.311051159
Bouncy,1.221023168,1.246868192
Bouncy,1.210574977,1.157171624
Bouncy,1.288882956,1.219748788
Bouncy,1.279040402,1.242882656
Bouncy,1.259761511,1.275370174
Bouncy,1.320512481,1.291871088
Bouncy,1.351093537,1.288933739
Bouncy,1.321353928,1.250092185
Bouncy,1.300130398,1.267206261
Bouncy,1.252261232,1.227112335
Bouncy,1.248186215,1.071052207
Bouncy,1.229915308,1.196616392
Bouncy,1.221255642,1.289378185
Bouncy,1.20236585,1.270348125
Bouncy,1.249691382,1.291620296
Bouncy,1.194740346,1.281799911
Bouncy,1.234648606,1.264864825
Bouncy,1.287281682,1.300973037
Bouncy,1.261407375,1.287446111
Bouncy,1.276743694,1.247690821
Bouncy,1.290944713,1.262764737
Bouncy,1.246814366,1.272962046
Bouncy,1.295996401,1.222346178
Bouncy,1.285795206,1.205856049
Bouncy,1.224466029,1.204653764
Bouncy,1.22165162,1.070946142
Bouncy,1.19921146,1.211530194
Bouncy,1.253330205,1.213439921
Bouncy,1.266666767,1.151826572
Bouncy,1.294692141,1.182047848
Bouncy,1.277568563,1.068927286
Bouncy,1.234586149,1.187182681
Bouncy,1.24996567,1.26466149
Bouncy,1.294772767,1.24102411
Bouncy,1.28934926,1.269718034
Bouncy,1.24577282,1.277518198
Bouncy,1.284085816,1.25156432
Bouncy,1.264598345,1.281582668
Bouncy,1.228949948,1.195674598
Bouncy,1.230784697,1.072542463
Bouncy,1.291581953,1.212575842
Bouncy,1.280826083,1.206937496
Bouncy,1.248617536,1.230465596
Bouncy,1.298030214,1.239903497
Bouncy,1.306841626,1.215511051
Bouncy,1.266977678,1.244940156
Bouncy,1.252673063,1.279834686
Bouncy,1.235654495,1.163621821
Bouncy,1.23099517,0.9588936067
Bouncy,1.228925453,1.068606631
Bouncy,1.231506153,1.196759719
Bouncy,1.260501382,1.268423388
Bouncy,1.245191657,1.298496469
Bouncy,1.188578834,1.283663825
Bouncy,1.167760416,1.243411471
Bouncy,1.159113492,1.268999659
Bouncy,1.174048599,1.283750962
Bouncy,1.178543239,1.329056288
Bouncy,1.146714776,1.372727784
Bouncy,1.195219615,1.37469981
Bouncy,1.196030672,1.286090537
Bouncy,1.202808424,1.248811778
Bouncy,1.226410272,1.285726754
Bouncy,1.280117108,1.292824288
Bouncy,1.270973493,1.278908683
Bouncy,1.23780659,1.252303944
Bouncy,1.247477729,1.255393293
Bouncy,1.178280306,1.291128174
Bouncy,1.244365676,1.279205059
Bouncy,1.251145643,1.154585915
Bouncy,1.320155506,1.114264035
Bouncy,1.343069262,1.27141924
Bouncy,1.346071755,1.289570595
Bouncy,1.281435208,1.244828949
Bouncy,1.242606823,1.286706998
Bouncy,1.232561319,1.275891036
Bouncy,1.243518339,1.2769252
Bouncy,1.227148968,1.245898216
Bouncy,1.229774776,1.237055367
Bouncy,1.231426686,1.256104512
Bouncy,1.218668725,1.24768602
Bouncy,1.232260261,1.254532016
Bouncy,1.216747193,1.269242581
Bouncy,1.226058824,1.22890541
Bouncy,1.23847146,1.269451619
Bouncy,1.247250216,1.251074187
Bouncy,1.204825378,1.263247175
Bouncy,1.249825091,1.279999386
Bouncy,1.261666445,1.284383098
Bouncy,1.233805712,1.276733554
Bouncy,1.26104308,1.263506459
Bouncy,1.290584279,1.2532856
Bouncy,1.254591733,1.26261758
